gene_id,housekeeping_genes,high_corr,low_CV_rank,high_CV_rank,high_feature,tRNA_related,rRNA_ribosome,high_feature_2
ENSG00000042429.9,0,0,1,0,1,0,1,0
ENSG00000042493.14,0,1,0,0,0,1,0,1
ENSG00000042753.10,1,0,1,0,0,0,0,0
ENSG00000042813.6,0,0,0,1,0,0,0,0
ENSG00000042832.10,0,0,0,1,0,0,0,0
ENSG00000043039.6,0,0,0,1,0,0,0,0
ENSG00000043093.12,0,0,0,0,1,0,0,0
ENSG00000043355.9,0,0,0,1,0,0,0,1
ENSG00000043514.14,0,0,0,0,1,1,0,0
ENSG00000044012.3,0,0,0,1,0,0,0,1
ENSG00000044115.19,1,0,1,0,0,0,1,0
ENSG00000044574.7,1,1,1,0,0,1,1,1
ENSG00000046604.11,0,1,0,0,0,0,0,0
ENSG00000046647.12,1,0,0,0,1,0,0,0
ENSG00000046651.13,0,0,0,0,1,0,0,0
ENSG00000046774.9,0,0,0,1,0,0,0,1
ENSG00000047188.14,0,0,0,0,1,0,0,0
ENSG00000047230.13,0,0,0,0,1,0,0,0
ENSG00000047249.15,1,0,1,0,1,0,0,0
ENSG00000047315.13,1,1,1,0,0,1,0,0
ENSG00000047346.11,0,0,0,0,1,0,0,0
ENSG00000047365.10,0,0,0,0,0,1,0,0
ENSG00000047410.12,0,0,1,0,1,1,1,0
ENSG00000047578.11,0,0,0,0,1,0,0,0
ENSG00000047579.18,0,0,0,0,1,0,0,0
ENSG00000047597.5,0,0,0,0,0,0,1,1
ENSG00000047621.10,0,1,0,0,0,0,0,0
ENSG00000047634.13,0,0,0,0,0,1,0,0
ENSG00000047849.20,0,0,1,0,0,1,0,0
ENSG00000047932.12,1,0,1,0,1,0,0,0
ENSG00000047936.9,0,0,0,1,0,0,0,1
ENSG00000048028.10,0,0,0,0,1,0,0,0
ENSG00000048140.16,1,0,0,0,0,0,0,0
ENSG00000048162.18,1,0,0,0,0,1,1,0
ENSG00000048392.10,0,0,0,0,1,1,0,0
ENSG00000048405.8,0,0,0,0,1,0,0,0
ENSG00000048471.12,0,0,0,0,1,0,0,0
ENSG00000048540.13,0,0,0,1,0,0,0,1
ENSG00000048544.5,1,0,1,0,1,0,1,0
ENSG00000048545.12,0,0,0,1,0,0,0,1
ENSG00000048649.12,0,0,1,0,1,0,0,0
