gene_id,ig_rank,saliency_rank,gbp_rank,gs_rank
ENSG00000232434.2,510.3919901,15.48046786,15.48046786,64.0239158
ENSG00000105355.7,861.4475043,15.47689938,15.47689938,63.26804106
ENSG00000006638.10,510.0760147,15.47361442,15.47361442,75.57802612
ENSG00000176697.17,485.5386748,15.47214078,15.47214078,148.7246166
ENSG00000172478.16,564.1297411,15.47156503,15.47156503,285.0058542
ENSG00000043039.6,537.6148833,15.47147984,15.47147984,242.1458728
ENSG00000177602.5,425.498348,15.47116342,15.47116342,114.6335366
ENSG00000106078.16,577.8220189,15.47079582,15.47079582,121.189098
ENSG00000120708.15,764.6643487,15.47044081,15.47044081,102.8179467
ENSG00000156103.14,638.9187596,15.46885352,15.46885352,189.3797875
ENSG00000105808.16,317.7742432,15.46837244,15.46837244,74.05825715
ENSG00000162738.5,706.5790492,15.46672642,15.46672642,130.1499264
ENSG00000183161.4,628.6483371,15.46617725,15.46617725,52.40764664
ENSG00000136448.10,794.7469206,15.45917854,15.45917854,42.41589199
ENSG00000157404.14,545.545883,15.45909629,15.45909629,120.0953356
ENSG00000124203.5,410.7810075,15.45683332,15.45683332,132.7595394
ENSG00000171189.15,414.0430001,15.45422829,15.45422829,144.8879356
ENSG00000140464.18,819.2857914,15.45265305,15.45265305,59.66523674
ENSG00000215595.1,357.1989748,15.45001569,15.45001569,103.6523363
ENSG00000101400.5,695.3278455,15.44965315,15.44965315,69.39981421
ENSG00000065518.7,879.4372803,15.44935879,15.44935879,50.65881818
ENSG00000135940.5,895.2116114,15.44581581,15.44581581,54.52359842
ENSG00000167074.13,753.7971685,15.44500842,15.44500842,71.93941446
ENSG00000258429.1,718.4154812,15.4429599,15.4429599,95.47331004
ENSG00000131149.16,734.6805217,15.44112098,15.44112098,56.60270463
ENSG00000108786.9,532.0966924,15.43831846,15.43831846,69.48622247
ENSG00000111667.12,804.6408328,15.43305983,15.43305983,48.50483679
ENSG00000214050.6,438.1922409,15.43241504,15.43241504,89.14391518
ENSG00000136286.13,546.0505418,15.42982452,15.42982452,96.54195445
ENSG00000130714.14,726.0286326,15.42973178,15.42973178,47.11565524
ENSG00000143061.16,668.1510099,15.42728149,15.42728149,92.02346219
ENSG00000159214.11,743.8381712,15.42419672,15.42419672,77.35206465
ENSG00000068745.13,809.2893422,15.42298613,15.42298613,51.81121429
ENSG00000126226.20,697.4065871,15.42081854,15.42081854,46.68480093
ENSG00000104814.11,564.6751228,15.42025892,15.42025892,92.84559192
ENSG00000120675.5,722.0378839,15.41861713,15.41861713,70.90349002
